,horsepower,engine,energie,boite_de_vitesse,porte,couleur,premiere_main,departement,age,Finition
329,90.0,0.9,Essence,meca,5.0,blanc,non,26,1015,Intens
330,90.0,0.9,Essence,meca,5.0,noir,oui,54,456,Intens
331,90.0,1.5,Diesel,meca,5.0,gris,non,17,743,Intens
332,90.0,1.5,Diesel,meca,5.0,blanc,oui,35,929,Business
333,90.0,1.5,Diesel,meca,5.0,gris,non,44,512,Limited
334,90.0,0.9,Essence,meca,5.0,noir,oui,80,2769,Intens
335,75.0,1.2,Essence,meca,5.0,blanc,oui,72,1360,Zen
336,65.0,1.5,Diesel,meca,3.0,blanc,non,85,4472,Societe
337,90.0,1.5,Diesel,meca,5.0,gris,non,14,3046,Intens
338,75.0,1.5,Diesel,meca,5.0,gris,oui,28,497,Business
339,90.0,1.5,Diesel,meca,5.0,blanc,oui,45,704,Business
340,75.0,1.5,Diesel,meca,5.0,blanc,oui,39,1286,Societe
341,75.0,1.2,Essence,meca,5.0,noir,non,77,771,Limited
342,100.0,1.0,Essence,meca,5.0,rouge,non,78,410,Intens
343,100.0,1.0,Essence,meca,5.0,noir,oui,38,62,RS
344,100.0,1.0,Essence,meca,5.0,gris,oui,59,300,Zen
345,90.0,0.9,Essence,meca,5.0,gris,non,54,970,Zen
346,75.0,1.2,Essence,meca,5.0,gris,oui,71,1079,Limited
347,75.0,1.2,Essence,meca,5.0,blanc,non,84,1045,Zen
348,110.0,1.5,Diesel,meca,5.0,platine,non,64,639,Intens
349,75.0,1.5,Diesel,meca,5.0,gris,oui,72,469,Business
350,90.0,0.9,Essence,meca,5.0,blanc,oui,56,1576,Limited
351,75.0,1.2,Essence,meca,3.0,bleu,non,95,4078,autre
352,75.0,1.2,Essence,meca,5.0,noir,non,19,1380,Zen
353,85.0,1.5,Diesel,meca,5.0,bleu,non,6,4027,autre
354,128.0,1.6,Essence,meca,5.0,blanc,non,39,3757,autre
355,75.0,1.5,Diesel,meca,5.0,blanc,oui,66,2556,autre
356,75.0,1.5,Diesel,meca,5.0,blanc,non,93,574,Limited
357,90.0,0.9,Essence,meca,5.0,rouge,non,77,1174,Intens
358,90.0,0.9,Essence,meca,5.0,rouge,oui,37,584,Intens
359,90.0,0.9,Essence,meca,5.0,platine,non,69,882,Zen
360,90.0,1.5,Diesel,meca,5.0,rouge,oui,28,544,Limited
361,90.0,0.9,Essence,meca,5.0,bleu,oui,35,256,Business
362,90.0,1.5,Diesel,meca,5.0,rouge,non,89,1231,Intens
